Date,Open,High,Low,Close,Volume,Ma5,Return
5/15/2000,1420.959961,1452.390015,1416.540039,1452.359985,854600000,1415.264,0.022097754
5/16/2000,1452.359985,1470.400024,1450.76001,1466.040039,955500000,1426.044,0.941918955
5/17/2000,1466.040039,1466.040039,1441.670044,1447.800049,820500000,1438.994,-1.244167247
5/18/2000,1447.800049,1458.040039,1436.589966,1437.209961,807900000,1444.874,-0.731460674
5/19/2000,1437.209961,1437.209961,1401.73999,1406.949951,853700000,1442.071997,-2.105468987
5/22/2000,1406.949951,1410.550049,1368.72998,1400.719971,869000000,1431.743994,-0.442800399
5/23/2000,1400.719971,1403.77002,1373.430054,1373.859985,869900000,1413.307983,-1.917584282
5/24/2000,1373.859985,1401.75,1361.089966,1399.050049,1152300000,1403.557983,1.833524833
5/25/2000,1399.050049,1411.650024,1373.930054,1381.52002,984500000,1392.419995,-1.252995131
5/26/2000,1381.52002,1391.420044,1369.75,1378.02002,722600000,1386.634009,-0.253344139
5/30/2000,1378.02002,1422.449951,1378.02002,1422.449951,844200000,1390.980005,3.224186177
5/31/2000,1422.439941,1434.48999,1415.5,1420.599976,960500000,1400.328003,-0.130055542
6/1/2000,1420.599976,1448.810059,1420.599976,1448.810059,960100000,1410.280005,1.985786532
6/2/2000,1448.810059,1483.22998,1448.810059,1477.26001,1162400000,1429.428003,1.963677076
6/5/2000,1477.26001,1477.280029,1464.680054,1467.630005,838600000,1447.35,-0.651882873
6/6/2000,1467.630005,1471.359985,1454.73999,1457.839966,950100000,1454.428003,-0.667064517
6/7/2000,1457.839966,1474.640015,1455.060059,1471.359985,854600000,1464.580005,0.927400765
6/8/2000,1471.359985,1475.650024,1456.48999,1461.670044,854300000,1467.152002,-0.658570377
6/9/2000,1461.670044,1472.670044,1454.959961,1456.949951,786000000,1463.08999,-0.322924659
6/12/2000,1456.949951,1462.930054,1445.98999,1446,774100000,1458.763989,-0.751566723
6/13/2000,1446,1470.420044,1442.380005,1469.439941,935900000,1461.083984,1.621019433
6/14/2000,1469.439941,1483.619995,1467.709961,1470.540039,929700000,1460.919995,0.074865122
6/15/2000,1470.540039,1482.040039,1464.619995,1478.72998,1011400000,1464.331982,0.556934241
6/16/2000,1478.72998,1480.77002,1460.420044,1464.459961,1250800000,1465.833984,-0.965018576
6/19/2000,1464.459961,1488.930054,1459.050049,1486,921700000,1473.833984,1.470852026
6/20/2000,1486,1487.319946,1470.180054,1475.949951,1031500000,1475.135986,-0.676315545
6/21/2000,1475.949951,1482.189941,1468,1479.130005,1009600000,1476.853979,0.215458119
6/22/2000,1479.130005,1479.130005,1448.030029,1452.180054,1022700000,1471.543994,-1.822013678
6/23/2000,1452.180054,1459.939941,1438.310059,1441.47998,847600000,1466.947998,-0.736828327
6/26/2000,1441.47998,1459.660034,1441.47998,1455.310059,889000000,1460.81001,0.959436079
6/27/2000,1455.310059,1463.349976,1450.550049,1450.550049,1042500000,1455.730029,-0.327078753
6/28/2000,1450.550049,1467.630005,1450.550049,1454.819946,1095100000,1450.868018,0.29436399
6/29/2000,1454.819946,1455.140015,1434.630005,1442.390015,1110900000,1448.91001,-0.854396521
6/30/2000,1442.390015,1454.680054,1438.709961,1454.599976,1459700000,1451.534009,0.84650898
7/3/2000,1454.599976,1469.579956,1450.849976,1469.540039,451900000,1454.380005,1.027090832
7/5/2000,1469.540039,1469.540039,1442.449951,1446.22998,1019300000,1453.515991,-1.586214624
7/6/2000,1446.22998,1461.650024,1439.560059,1456.670044,947300000,1453.886011,0.721881315
7/7/2000,1456.670044,1484.119995,1456.670044,1478.900024,931700000,1461.188013,1.526082045
7/10/2000,1478.900024,1486.560059,1474.76001,1475.619995,838700000,1465.392016,-0.22178842
7/11/2000,1475.619995,1488.77002,1470.47998,1480.880005,980500000,1467.66001,0.356461014
7/12/2000,1480.880005,1497.689941,1480.880005,1492.920044,1001200000,1476.998022,0.813032721
7/13/2000,1492.920044,1501.390015,1489.650024,1495.839966,1026800000,1484.832007,0.19558462
7/14/2000,1495.839966,1509.98999,1494.560059,1509.97998,960600000,1491.047998,0.945289224
7/17/2000,1509.97998,1517.319946,1505.26001,1510.48999,906000000,1498.021997,0.033775944
7/18/2000,1510.48999,1510.48999,1491.349976,1493.73999,908300000,1500.593994,-1.108911685
7/19/2000,1493.73999,1495.630005,1479.920044,1481.959961,909400000,1498.401977,-0.788626473
7/20/2000,1481.959961,1501.920044,1481.959961,1495.569946,1064600000,1498.347973,0.918377376
7/21/2000,1495.569946,1495.569946,1477.910034,1480.189941,968300000,1492.389966,-1.028370826
